"","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average"
"Mexico","5.5","5.1"
"Micronesia (Federated States of)","2.3","3.2"
"Monaco","",""
"Mongolia","4.9","2.1"
"Montenegro","4.9",""
"Morocco","0.5","0.5"
"Mozambique","1.3","1.5"
"Myanmar","0.1","0.1"
"Namibia","6.8","5.1"
"Nauru","1.0","1.0"
"Nepal","0.2","0.2"
"Netherlands","9.4","9.6"
"New Zealand","9.3","8.9"
"Nicaragua","3.5","3.8"
"Niger","0.1","0.1"
"Nigeria","9.1","9.8"
"Niue","7","7.8"
"Norway","6.7","6.2"
"Oman","0.7","0.7"
"Pakistan","0.0","0.0"
"Palau","6.9","7.2"
"Panama","7.2","5.8"
"Papua New Guinea","1.5","1.5"
"Paraguay","7.3","6.3"
"Peru","6.1","4.4"
"Philippines","4.6","4.4"
"Poland","10.9","9.3"
"Portugal","11.0","12.3"
"Qatar","0.9","0.8"
"Republic of Korea","9.8","9.3"
"Republic of Moldova","6.3","3.8"
"Romania","10.4","8.8"
"Russian Federation","11.5","11.4"
"Rwanda","6.8","6.8"
"Saint Kitts and Nevis","7.7","8.8"
"Saint Lucia","10.1","11.5"
"Saint Vincent and the Grenadines","6.3","5.0"
"Samoa","2.6","3.8"
"San Marino","",""
"Sao Tome and Principe","4.2","5.8"
"Saudi Arabia","0.1","0.1"
"Senegal","0.3","0.3"
"Serbia","9.6","8.1"
"Seychelles","4.1","6.2"
"Sierra Leone","6.7","6.7"
"Singapore","1.5","0.0"
"Slovakia","11.4","10.7"
"Slovenia","10.6","12.4"
"Solomon Islands","1.2","1.1"
"Somalia","0.0","0.0"
"South Africa","8.2","10.0"
"South Sudan","",""
"Spain","10.0","10.9"
"Sri Lanka","2.2","1.8"
"Sudan","1.7","1.6"
"Suriname","5.6","5.0"
"Swaziland","4.7","5.4"
"Sweden","7.2","6.7"
"Switzerland","10.2","10.6"
"Syrian Arab Republic","1.0","1.2"
"Tajikistan","0.3","0.4"
"Thailand","6.4","6.1"
"The former Yugoslav republic of Macedonia","3.9","5.0"
"Timor-Leste","0.1","0.4"
"Togo","1.3","1.0"
"Tonga","1.1","1.2"
"Trinidad and Tobago","6.4","5.8"
"Tunisia","1.3","1.2"
"Turkey","1.4","1.4"
"Turkmenistan","2.2","2.3"
"Tuvalu","1.0","1.4"
"Uganda","8.3","8.9"
"Ukraine","8.9","6.8"
"United Arab Emirates","2.8","1.9"
"United Kingdom of Great Britain and Northern Ireland","10.4","11.5"
"United Republic of Tanzania","5.7","4.8"
"United States of America","8.7","8.5"
"Uruguay","6.6","6.1"
"Uzbekistan","2.4","1.9"
"Vanuatu","0.9","1.0"
"Venezuela (Bolivarian Republic of)","7.7","7.3"
"Viet Nam","2.0","1.2"
"Yemen","0.1","0.1"
"Zambia","2.5","2.4"
"Zimbabwe","4.7","4.1"
